salary_year_avg
101029
82500
54988
157500

139216
155500
78390
55000
135000
72250
146500
120000
140000
105000
70000
124538.171875
125000
110000
115000
89000
147500
136000
144000
97500
114500
137500
200000
202093
170000
150000
224500
173500
51000
75000
212500
161044
195000
114550
180000
90000
107850
315000
116700
172118.5
152500
203000
184000
206500
89204
111175
51014
56700
63500
92500
155000
148000
87500
162500
127500
108567
69962.5
102267
105800
120710
160000
174720
181500
113580
152650
185000
85600
109500
108000
375000
107500
157934
142045
116393
175000
100000
67922.5
225000
188000
205000
172000
96500
210000
89100
98301.5
72900
98500
145000
117500
77500
112050
115656
208000
106065
111750
150540
211000
208114
144481.5
190000
170672
80000
79200
155904.5
57500
90670
96773
63000
99150
99000
95700
85000
207230.21875
124400
198500
65000
265000
81000
100000.5
165000
154500
245000
112500
233500
159770
166000
69300
69000
93600
108415.5
107755.4921875
95650
192500
87499.5
351500
178500
112500.5
146000
249000
126000
43200
116600
89500
133000
325000
161500
132650
117903.5
149000
146100
113836.5
91500
103128
240000
172500
122500
169000
265500
192000
177283
180500
71300
97375
72500
107341
202000
252000
300000
350000
179500
151000
147000
167500
130500
101014
127000
174500
131560
120450
45055.640625
60000
215352
95000
131580
302000
98880
130000
141500
132500
53014
116250
94000
79500
104250
139412.5
246500
50000
119500
187500
102200
114000
149750
171000
117200
192375
74224.5
193048
128500
250000
61880
182500
142500
198000
187804.5
124000
72000
104668
80850
173000
89833.5
109159
111500
98496
108500
73450
112015
98800
101500
123000
130400
158500
134000
138500
48000
45000
102500
118640
33455
132121.6875
106500
177500
122375
166848
176500
232500
86399.5
79968
104090
158000
295000
57118
131000
215000
164500
220000
128050
124500
96760.5
105300
153695.5
189000
157650
84800
186093
92550
81311.5
154000
124350
161955.5
239777.5
223000
209955.5
204000
274675
225500
182000
268000
141000
264500
71100
231000
163875
104550
105650
95640
86500
94500
59000
151950
143910.5
138200
110144.390625
113250
123600
148500
152174.5
120000.5
66400
191180
70649
146383
116950
425000
50325
189750
146255.203125
62500
156500
69447
97925
120631
112000
118755
138516
202500
158525
132368
50400
134241
97444
98000
138000
177885.5
221844
82879
82200
97000
121010.5
81800
84000
